sr.no,Name of Product,Name of Ingredients,Brand,Category,Ingredients Details,Ingredient Type,Is Harmful,Reason for Harm,Daily Limit,Suitable for Kids,Suitable for Teens,Suitable for Elderly,Nutritional Impact,Healthy Alternatives,Alternative Description,Translation Availability,Harmful Ingredient Count,Total Ingredients,Country of Manufacture,Expiration Date
11,Britannia Biscuits,Flour,Haldiram's,Confectionery,"Flour, Butter, Sugar",Fat,No,High Sodium,Moderate Intake,No,Limited,No,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
12,Britannia Biscuits,Potatoes,Coca-Cola,Beverages,"Potatoes, Vegetable Oil, Salt",Fat,No,Chemical Additives,Moderate Intake,Yes (Occasional),Yes,Yes,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Mexico,7 days from packing
13,McCain French Fries,Carbonated Water,Amul,Snacks,"Flour, Butter, Sugar",Additive,Yes,None,Moderate Intake,Limited,Limited,Limited,Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Canada,7 days from packing
14,Britannia Biscuits,Milk Chocolate,Lay's,Beverages,"Carbonated Water, Sugar",Additive,No,Allergen Content,200g per day,Limited,Limited,No,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,Canada,14 days from packing
15,Coca-Cola Classic,Potatoes,Coca-Cola,Dairy Products,"Carbonated Water, Sugar",Sweetener,Yes,None,As Desired,Limited,Yes,No,High in calcium and protein,Sugar-free Drinks,Healthy and natural alternatives,English,1,2,Australia,14 days from packing
16,McCain French Fries,Carbonated Water,Britannia,Snacks,"Milk, Sugar, Culture",Fat,Yes,None,100g per day,No,Limited,Yes (Occasional),Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,Australia,5 days from packing
17,Lay's Chips,Potatoes,Nestle,Confectionery,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,None,200g per day,Yes,No,Yes,Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,1,3,Australia,7 days from packing
18,McCain French Fries,Carbonated Water,Nestle,Snacks,"Milk, Sugar, Culture",Protein,No,High Sodium,Moderate Intake,Limited,Limited,Yes (Occasional),Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
19,Britannia Biscuits,Milk,Britannia,Frozen Foods,"Milk Chocolate, Sugar",Carbohydrate,No,None,As Desired,Limited,Yes,Limited,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,2,2,Australia,5 days from packing
20,Britannia Biscuits,Milk,Nestle,Dairy Products,"Flour, Butter, Sugar",Carbohydrate,No,None,As Desired,Yes (Occasional),Yes,No,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,0,3,USA,7 days from packing
21,Coca-Cola Classic,Flour,Lay's,Snacks,"Potatoes, Vegetable Oil, Salt",Protein,No,High Sodium,200g per day,No,No,Yes,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,2,3,India,5 days from packing
22,Coca-Cola Classic,Potatoes,Amul,Dairy Products,"Potatoes, Oil, Salt",Sweetener,Yes,High Sodium,As Desired,No,Yes (Occasional),No,Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,1,3,USA,14 days from packing
23,Cadbury Dairy Milk,Flour,Haldiram's,Snacks,"Potatoes, Vegetable Oil, Salt",Protein,Yes,None,As Desired,Limited,Yes (Occasional),Yes (Occasional),High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,USA,14 days from packing
24,McCain French Fries,Milk,Amul,Dairy Products,"Milk Chocolate, Sugar",Additive,No,Allergen Content,As Desired,Yes,Limited,No,Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,2,2,Canada,5 days from packing
25,McCain French Fries,Flour,Haldiram's,Confectionery,"Potatoes, Oil, Salt",Additive,Yes,High Sodium,200g per day,Yes,Yes,Yes (Occasional),Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,2,3,Mexico,14 days from packing
26,McCain French Fries,Potatoes,Haldiram's,Snacks,"Milk, Sugar, Culture",Additive,No,Chemical Additives,200g per day,No,Yes (Occasional),No,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,USA,14 days from packing
27,Lay's Chips,Flour,Coca-Cola,Beverages,"Milk, Sugar, Culture",Dairy,No,Chemical Additives,Moderate Intake,No,No,No,Rich in fat and carbohydrates,Organic Yogurt,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
28,Cadbury Dairy Milk,Potatoes,Haldiram's,Snacks,"Flour, Butter, Sugar",Fat,Yes,None,100g per day,No,Limited,Yes,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,USA,7 days from packing
29,Lay's Chips,Flour,Haldiram's,Beverages,"Potatoes, Oil, Salt",Dairy,Yes,Chemical Additives,As Desired,Yes (Occasional),Yes,Yes,High sugar content with quick energy boost,Sugar-free Drinks,Healthy and natural alternatives,English,2,3,USA,5 days from packing
30,Cadbury Dairy Milk,Potatoes,Haldiram's,Dairy Products,"Milk Chocolate, Sugar",Carbohydrate,Yes,Chemical Additives,200g per day,Yes (Occasional),Limited,Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,2,2,Canada,5 days from packing
31,Lay's Chips,Flour,Haldiram's,Dairy Products,"Potatoes, Oil, Salt",Protein,Yes,Allergen Content,Moderate Intake,Yes,Yes (Occasional),Yes (Occasional),High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,0,3,India,7 days from packing
32,Coca-Cola Classic,Milk,Coca-Cola,Beverages,"Milk Chocolate, Sugar",Dairy,Yes,None,As Desired,Yes,No,No,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,0,2,USA,5 days from packing
33,Lay's Chips,Carbonated Water,Lay's,Dairy Products,"Flour, Butter, Sugar",Sweetener,Yes,None,As Desired,Yes (Occasional),Yes,No,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,0,3,Mexico,5 days from packing
34,Epigamia Greek Yogurt,Milk,Coca-Cola,Frozen Foods,"Flour, Butter, Sugar",Additive,No,None,100g per day,Yes,Yes (Occasional),No,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
35,Epigamia Greek Yogurt,Potatoes,Amul,Confectionery,"Milk Chocolate, Sugar",Carbohydrate,Yes,Chemical Additives,As Desired,Yes,Limited,Yes (Occasional),Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,1,2,Mexico,7 days from packing
36,Cadbury Dairy Milk,Potatoes,Britannia,Dairy Products,"Potatoes, Oil, Salt",Protein,No,Chemical Additives,As Desired,Yes,Limited,No,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,0,3,Mexico,5 days from packing
37,Cadbury Dairy Milk,Carbonated Water,Lay's,Dairy Products,"Flour, Butter, Sugar",Additive,No,None,Moderate Intake,Yes (Occasional),Yes,Yes,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,3,India,7 days from packing
38,Cadbury Dairy Milk,Carbonated Water,Haldiram's,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Sweetener,Yes,High Sodium,Moderate Intake,Yes,Yes,No,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,0,3,USA,14 days from packing
39,McCain French Fries,Carbonated Water,Nestle,Snacks,"Potatoes, Oil, Salt",Carbohydrate,Yes,None,200g per day,Limited,Limited,Yes,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,0,3,USA,5 days from packing
40,McCain French Fries,Potatoes,Nestle,Snacks,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,None,As Desired,No,No,Yes,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
41,Coca-Cola Classic,Carbonated Water,Lay's,Snacks,"Carbonated Water, Sugar",Carbohydrate,Yes,None,As Desired,Yes (Occasional),No,Yes,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,1,2,India,5 days from packing
42,Epigamia Greek Yogurt,Milk,Coca-Cola,Confectionery,"Flour, Butter, Sugar",Dairy,Yes,None,Moderate Intake,No,No,Limited,Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Mexico,7 days from packing
43,Cadbury Dairy Milk,Potatoes,Lay's,Dairy Products,"Flour, Butter, Sugar",Protein,Yes,Chemical Additives,Moderate Intake,Yes,Limited,Yes (Occasional),Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,2,3,Mexico,5 days from packing
44,Epigamia Greek Yogurt,Potatoes,Nestle,Dairy Products,"Milk Chocolate, Sugar",Dairy,No,Allergen Content,100g per day,No,No,Yes,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
45,Cadbury Dairy Milk,Carbonated Water,Nestle,Dairy Products,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,Chemical Additives,As Desired,Yes,Limited,No,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,1,3,Mexico,14 days from packing
46,Lay's Chips,Potatoes,Coca-Cola,Beverages,"Milk, Sugar, Culture",Dairy,Yes,High Sodium,As Desired,Limited,Yes (Occasional),Yes (Occasional),Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Mexico,14 days from packing
47,Britannia Biscuits,Flour,Amul,Snacks,"Potatoes, Oil, Salt",Protein,Yes,High Sodium,200g per day,Yes,Yes,Limited,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Canada,5 days from packing
48,Coca-Cola Classic,Potatoes,Haldiram's,Snacks,"Flour, Butter, Sugar",Carbohydrate,No,Allergen Content,Moderate Intake,Yes,No,Yes,Provides energy but may contribute to weight gain,Baked Fries,Healthy and natural alternatives,English,2,3,India,14 days from packing
49,Epigamia Greek Yogurt,Carbonated Water,Britannia,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Additive,No,High Sodium,Moderate Intake,Yes (Occasional),Limited,No,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,0,3,Australia,14 days from packing
50,McCain French Fries,Flour,Haldiram's,Dairy Products,"Potatoes, Oil, Salt",Dairy,No,None,As Desired,Limited,Yes,No,Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
51,Epigamia Greek Yogurt,Milk Chocolate,Lay's,Dairy Products,"Potatoes, Oil, Salt",Additive,No,None,As Desired,No,Limited,No,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,0,3,Canada,7 days from packing
52,Coca-Cola Classic,Potatoes,Britannia,Confectionery,"Potatoes, Oil, Salt",Protein,Yes,None,100g per day,Limited,No,No,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,2,3,India,5 days from packing
53,Epigamia Greek Yogurt,Milk Chocolate,Coca-Cola,Beverages,"Carbonated Water, Sugar",Dairy,Yes,High Sodium,As Desired,Yes,Yes,Yes,Rich in fat and carbohydrates,Sugar-free Drinks,Healthy and natural alternatives,English,0,2,USA,5 days from packing
54,Cadbury Dairy Milk,Potatoes,Britannia,Snacks,"Carbonated Water, Sugar",Dairy,Yes,Allergen Content,100g per day,Yes (Occasional),Yes,No,Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,0,2,Canada,7 days from packing
55,Britannia Biscuits,Milk Chocolate,Amul,Frozen Foods,"Milk Chocolate, Sugar",Sweetener,No,Allergen Content,Moderate Intake,No,Limited,Yes,High in calcium and protein,Baked Fries,Healthy and natural alternatives,English,0,2,Mexico,14 days from packing
56,Cadbury Dairy Milk,Potatoes,Britannia,Frozen Foods,"Milk Chocolate, Sugar",Dairy,Yes,High Sodium,As Desired,Yes,Limited,Limited,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Canada,14 days from packing
57,McCain French Fries,Carbonated Water,Nestle,Dairy Products,"Milk Chocolate, Sugar",Additive,Yes,Allergen Content,200g per day,No,Yes,No,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,1,2,Mexico,14 days from packing
58,Lay's Chips,Flour,Coca-Cola,Frozen Foods,"Carbonated Water, Sugar",Protein,No,None,As Desired,No,Yes (Occasional),Yes (Occasional),Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,1,2,USA,5 days from packing
59,Epigamia Greek Yogurt,Carbonated Water,Lay's,Confectionery,"Potatoes, Oil, Salt",Additive,Yes,Allergen Content,As Desired,Limited,Yes (Occasional),No,Sweet treat with high sugar content,Baked Fries,Healthy and natural alternatives,English,1,3,USA,14 days from packing
60,McCain French Fries,Milk Chocolate,Coca-Cola,Dairy Products,"Carbonated Water, Sugar",Dairy,Yes,Allergen Content,200g per day,Yes,No,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,0,2,Canada,14 days from packing
61,Epigamia Greek Yogurt,Flour,Lay's,Snacks,"Carbonated Water, Sugar",Additive,No,None,As Desired,Yes (Occasional),No,No,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,2,2,Australia,7 days from packing
62,Cadbury Dairy Milk,Potatoes,Amul,Dairy Products,"Potatoes, Vegetable Oil, Salt",Additive,No,None,Moderate Intake,Limited,Limited,No,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,2,3,India,5 days from packing
63,Cadbury Dairy Milk,Milk Chocolate,Amul,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Additive,Yes,High Sodium,As Desired,No,No,No,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,2,3,India,7 days from packing
64,Epigamia Greek Yogurt,Milk Chocolate,Coca-Cola,Frozen Foods,"Milk Chocolate, Sugar",Dairy,Yes,Chemical Additives,100g per day,No,Yes (Occasional),Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,1,2,Canada,7 days from packing
65,Cadbury Dairy Milk,Potatoes,Coca-Cola,Confectionery,"Carbonated Water, Sugar",Carbohydrate,Yes,Chemical Additives,Moderate Intake,Yes (Occasional),Yes (Occasional),No,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,0,2,Mexico,5 days from packing
66,Cadbury Dairy Milk,Potatoes,Coca-Cola,Confectionery,"Milk Chocolate, Sugar",Protein,Yes,Chemical Additives,200g per day,Limited,No,Limited,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,2,2,Australia,14 days from packing
67,McCain French Fries,Carbonated Water,Britannia,Frozen Foods,"Flour, Butter, Sugar",Carbohydrate,Yes,High Sodium,200g per day,Yes,Limited,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,2,3,Canada,7 days from packing
68,Coca-Cola Classic,Potatoes,Coca-Cola,Beverages,"Milk Chocolate, Sugar",Protein,Yes,None,200g per day,Limited,Yes (Occasional),Limited,High sugar content with quick energy boost,Whole-grain Biscuits,Healthy and natural alternatives,English,1,2,Canada,5 days from packing
69,Britannia Biscuits,Milk Chocolate,Haldiram's,Frozen Foods,"Milk Chocolate, Sugar",Protein,Yes,Allergen Content,100g per day,No,Limited,Yes (Occasional),High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,0,2,USA,14 days from packing
70,Coca-Cola Classic,Milk,Lay's,Beverages,"Potatoes, Vegetable Oil, Salt",Fat,Yes,Chemical Additives,200g per day,Yes (Occasional),No,Yes,Provides energy but may contribute to weight gain,Organic Yogurt,Healthy and natural alternatives,English,2,3,India,14 days from packing
71,Britannia Biscuits,Milk,Britannia,Confectionery,"Milk, Sugar, Culture",Additive,Yes,Chemical Additives,200g per day,Limited,Yes (Occasional),Yes (Occasional),Sweet treat with high sugar content,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Canada,14 days from packing
72,Britannia Biscuits,Milk,Coca-Cola,Frozen Foods,"Potatoes, Vegetable Oil, Salt",Fat,No,High Sodium,200g per day,Yes,Yes,No,Sweet treat with high sugar content,Dark Chocolate,Healthy and natural alternatives,English,1,3,Australia,14 days from packing
73,Epigamia Greek Yogurt,Milk Chocolate,Lay's,Confectionery,"Potatoes, Vegetable Oil, Salt",Carbohydrate,Yes,High Sodium,200g per day,Yes (Occasional),No,Limited,High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,2,3,Australia,5 days from packing
74,Cadbury Dairy Milk,Carbonated Water,Nestle,Dairy Products,"Potatoes, Vegetable Oil, Salt",Protein,Yes,Chemical Additives,100g per day,No,Limited,Yes,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,0,3,India,14 days from packing
75,Cadbury Dairy Milk,Potatoes,Nestle,Confectionery,"Carbonated Water, Sugar",Dairy,No,Allergen Content,As Desired,No,Yes (Occasional),Yes (Occasional),Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,2,Mexico,7 days from packing
76,Epigamia Greek Yogurt,Milk,Coca-Cola,Beverages,"Carbonated Water, Sugar",Dairy,No,High Sodium,100g per day,Limited,Limited,Yes,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,2,2,Canada,5 days from packing
77,Lay's Chips,Potatoes,Haldiram's,Dairy Products,"Flour, Butter, Sugar",Fat,Yes,Allergen Content,Moderate Intake,Yes,Limited,No,High in calcium and protein,Dark Chocolate,Healthy and natural alternatives,English,1,3,Mexico,14 days from packing
78,Britannia Biscuits,Potatoes,Lay's,Snacks,"Carbonated Water, Sugar",Dairy,No,Chemical Additives,200g per day,Yes (Occasional),Limited,Yes,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,1,2,Mexico,7 days from packing
79,Cadbury Dairy Milk,Potatoes,Nestle,Snacks,"Potatoes, Vegetable Oil, Salt",Dairy,Yes,High Sodium,200g per day,Yes (Occasional),No,Limited,Sweet treat with high sugar content,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Canada,7 days from packing
80,Lay's Chips,Milk Chocolate,Nestle,Snacks,"Potatoes, Vegetable Oil, Salt",Carbohydrate,No,None,200g per day,Yes,Yes (Occasional),No,Source of fiber and moderate sugar,Organic Yogurt,Healthy and natural alternatives,English,0,3,India,5 days from packing
81,McCain French Fries,Potatoes,Britannia,Dairy Products,"Potatoes, Oil, Salt",Fat,No,High Sodium,100g per day,No,Limited,Yes (Occasional),Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,2,3,Canada,5 days from packing
82,Lay's Chips,Potatoes,Lay's,Dairy Products,"Potatoes, Oil, Salt",Sweetener,No,Allergen Content,As Desired,Yes (Occasional),Yes,No,High in calcium and protein,Homemade Snacks,Healthy and natural alternatives,English,1,3,USA,14 days from packing
83,Lay's Chips,Milk Chocolate,Coca-Cola,Beverages,"Milk Chocolate, Sugar",Additive,Yes,Allergen Content,200g per day,Yes,Yes (Occasional),No,High sugar content with quick energy boost,Baked Fries,Healthy and natural alternatives,English,0,2,Mexico,7 days from packing
84,Cadbury Dairy Milk,Milk Chocolate,Britannia,Snacks,"Milk Chocolate, Sugar",Additive,Yes,High Sodium,100g per day,Yes,Yes (Occasional),Yes,Provides energy but may contribute to weight gain,Sugar-free Drinks,Healthy and natural alternatives,English,2,2,Australia,7 days from packing
85,Cadbury Dairy Milk,Flour,Amul,Beverages,"Carbonated Water, Sugar",Additive,Yes,None,100g per day,Yes (Occasional),No,Yes,Rich in fat and carbohydrates,Homemade Snacks,Healthy and natural alternatives,English,2,2,USA,5 days from packing
86,Cadbury Dairy Milk,Carbonated Water,Amul,Frozen Foods,"Milk Chocolate, Sugar",Dairy,No,High Sodium,Moderate Intake,Limited,No,Limited,Rich in fat and carbohydrates,Dark Chocolate,Healthy and natural alternatives,English,1,2,Mexico,5 days from packing
87,Epigamia Greek Yogurt,Carbonated Water,Lay's,Beverages,"Carbonated Water, Sugar",Additive,No,Allergen Content,Moderate Intake,Yes (Occasional),No,Yes (Occasional),Rich in fat and carbohydrates,Baked Fries,Healthy and natural alternatives,English,2,2,Australia,5 days from packing
88,McCain French Fries,Carbonated Water,Lay's,Beverages,"Flour, Butter, Sugar",Sweetener,No,Allergen Content,As Desired,Yes,Limited,Yes (Occasional),High in calcium and protein,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,Australia,5 days from packing
89,McCain French Fries,Flour,Nestle,Beverages,"Flour, Butter, Sugar",Additive,No,Allergen Content,As Desired,No,Yes (Occasional),Yes (Occasional),Sweet treat with high sugar content,Organic Yogurt,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
90,Epigamia Greek Yogurt,Milk,Haldiram's,Frozen Foods,"Flour, Butter, Sugar",Carbohydrate,Yes,None,As Desired,Limited,Yes,No,High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,0,3,India,7 days from packing
91,Lay's Chips,Carbonated Water,Lay's,Dairy Products,"Milk, Sugar, Culture",Additive,No,High Sodium,As Desired,No,Limited,Yes (Occasional),Provides energy but may contribute to weight gain,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Canada,7 days from packing
92,Epigamia Greek Yogurt,Potatoes,Nestle,Snacks,"Carbonated Water, Sugar",Additive,No,Chemical Additives,As Desired,Yes,Yes,Yes,Source of fiber and moderate sugar,Dark Chocolate,Healthy and natural alternatives,English,0,2,Australia,14 days from packing
93,Epigamia Greek Yogurt,Potatoes,Amul,Frozen Foods,"Flour, Butter, Sugar",Protein,Yes,Chemical Additives,100g per day,No,No,Limited,Sweet treat with high sugar content,Homemade Snacks,Healthy and natural alternatives,English,1,3,Canada,14 days from packing
94,Coca-Cola Classic,Potatoes,Lay's,Dairy Products,"Flour, Butter, Sugar",Sweetener,Yes,High Sodium,As Desired,No,No,Yes,High sugar content with quick energy boost,Organic Yogurt,Healthy and natural alternatives,English,0,3,Australia,7 days from packing
95,Britannia Biscuits,Flour,Haldiram's,Beverages,"Milk Chocolate, Sugar",Dairy,Yes,Allergen Content,100g per day,Limited,Yes,No,Source of fiber and moderate sugar,Baked Fries,Healthy and natural alternatives,English,0,2,Mexico,14 days from packing
96,Cadbury Dairy Milk,Potatoes,Coca-Cola,Frozen Foods,"Milk, Sugar, Culture",Fat,No,Chemical Additives,Moderate Intake,Limited,Yes,Yes,Source of fiber and moderate sugar,Whole-grain Biscuits,Healthy and natural alternatives,English,0,3,USA,14 days from packing
97,Epigamia Greek Yogurt,Carbonated Water,Lay's,Beverages,"Potatoes, Oil, Salt",Carbohydrate,No,None,As Desired,Yes (Occasional),Yes,Limited,Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,0,3,Mexico,7 days from packing
98,Britannia Biscuits,Milk Chocolate,Britannia,Confectionery,"Potatoes, Oil, Salt",Sweetener,No,Chemical Additives,Moderate Intake,Yes,No,No,Provides energy but may contribute to weight gain,Homemade Snacks,Healthy and natural alternatives,English,1,3,USA,5 days from packing
99,Epigamia Greek Yogurt,Potatoes,Lay's,Confectionery,"Milk, Sugar, Culture",Sweetener,Yes,High Sodium,Moderate Intake,Limited,No,No,Rich in fat and carbohydrates,Whole-grain Biscuits,Healthy and natural alternatives,English,1,3,Mexico,5 days from packing
100,Coca-Cola Classic,Flour,Lay's,Confectionery,"Milk Chocolate, Sugar",Dairy,No,Chemical Additives,Moderate Intake,Yes,Yes,Yes (Occasional),High sugar content with quick energy boost,Dark Chocolate,Healthy and natural alternatives,English,2,2,Australia,5 days from packing
101,Coca-Cola Classic,Milk Chocolate,Haldiram's,Confectionery,"Flour, Butter, Sugar",Protein,No,Chemical Additives,Moderate Intake,Yes (Occasional),Limited,Yes (Occasional),High in calcium and protein,Organic Yogurt,Healthy and natural alternatives,English,1,3,Canada,5 days from packing
102,Lay's Chips,Carbonated Water,Haldiram's,Frozen Foods,"Potatoes, Oil, Salt",Sweetener,Yes,None,200g per day,Yes (Occasional),Yes (Occasional),No,Provides energy but may contribute to weight gain,Dark Chocolate,Healthy and natural alternatives,English,1,3,India,14 days from packing
103,McCain French Fries,Milk,Coca-Cola,Frozen Foods,"Carbonated Water, Sugar",Protein,Yes,None,Moderate Intake,Limited,Yes,Yes,Source of fiber and moderate sugar,Sugar-free Drinks,Healthy and natural alternatives,English,2,2,India,5 days from packing
104,Lay's Chips,Potatoes,Amul,Frozen Foods,"Milk Chocolate, Sugar",Dairy,Yes,Allergen Content,100g per day,Yes,No,Yes (Occasional),Source of fiber and moderate sugar,Homemade Snacks,Healthy and natural alternatives,English,2,2,Mexico,7 days from packing
